oldID,newID
duravent-directvent-pro-6-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dv,46dva-06b
duravent-directvent-pro-6-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dv,58dva-06b
duravent-directvent-pro-6-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stoves,46dva-06
duravent-directvent-pro-60-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46d,46dva-60b
duravent-directvent-pro-60-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58d,58dva-60b
duravent-directvent-pro-60-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stove,46dva-60
duravent-directvent-pro-8-1-2-inch-adjustable-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-,58dva-08ab
duravent-directvent-pro-8-1-2-inch-adjustable-pipe-length-galvanized-direct-vent-pipe-for-gas-firepl,58dva-08a
duravent-directvent-pro-8-1-2-inch-pipe-extension-adjusts-3-7-inch-black-direct-vent-pipe-for-gas-fi,46dva-08ab
duravent-directvent-pro-8-1-2-inch-pipe-extension-adjusts-3-7-inch-galvanized-direct-vent-pipe-for-g,46dva-08a
duravent-directvent-pro-9-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-46dv,46dva-09b
duravent-directvent-pro-9-inch-pipe-length-black-direct-vent-pipe-for-gas-fireplaces-gas-stoves-58dv,58dva-09b
duravent-directvent-pro-9-inch-pipe-length-galvanized-direct-vent-pipe-for-gas-fireplaces-gas-stoves,46dva-09
duravent-directvent-pro-adapter-for-oxford-gas-stove-direct-vent-pipe-for-gas-fireplaces-gas-stoves-,46dva-adp
duravent-directvent-pro-adjustable-roof-flashing-0-12-6-12-direct-vent-pipe-for-gas-fireplaces-gas-s,58dva-f6
duravent-directvent-pro-aluminum-flex-length-4-inch-x-25-direct-vent-pipe-for-gas-fireplaces-gas-sto,4dfa-25
duravent-directvent-pro-aluminum-flex-length-4-inch-x-35-direct-vent-pipe-for-gas-fireplaces-gas-sto,4dfa-35
